AB256256	980403Pt.2#58
AB256257	980403Pt.2#89
AB256258	980403Pt.2#95
AB256259	980403Pt.2#96-2
AB256260	980403Pt.2#107-1
AB256262	980403Pt.2#110-2
AB256263	980403Pt.2#117
AB256261	980403Pt.2#110-1
AB256264	980403Pt.2#120-2
AB256265	980403Pt.2#162-1
AB256266	980403Pt.2#170
AB256267	980403Pt.2#180
AB256268	980403Pt.2#188
AB256270	980403Pt.2#226
AB256269	980403Pt.2#213
AB256272	980403Pt.2#269-1
AB256271	980403Pt.2#261
AB256274	980403Pt.2#280-1
AB256273	980403Pt.2#273-1
AB256276	011102Pt.2#8
AB256275	011102Pt.2#5
AB256278	011102Pt.2#24
AB256277	011102Pt.2#19
AB256279	011102Pt.2#27
AB256280	011102Pt.2#30
AB256281	011102Pt.2#34-1
AB256282	011102Pt.2#34-2
AB256283	011102Pt.2#60
AB256285	011102Pt.2#69-1
AB256284	011102Pt.2#67
AB256287	011102Pt.2#79
AB256286	011102Pt.2#69-2
AB256289	011102Pt.2#115
AB256288	011102Pt.2#109
AB256291	011102Pt.2#131
AB256290	011102Pt.2#127
AB256293	011102Pt.2#160
AB256292	011102Pt.2#145
AB256295	011102Pt.2#176
AB256294	011102Pt.2#174
AB256297	011102Pt.2#180
AB256296	011102Pt.2#177
AB256299	011102Pt.2#184
AB256298	011102Pt.2#182
AB256301	011102Pt.2#215-2
AB256300	011102Pt.2#191
AB256303	011102Pt.2#238
AB256302	011102Pt.2#225
AB256304	011102Pt.2#239
AB256305	011102Pt.2#240-1
AB256307	011102Pt.2#265
AB256308	011102Pt.2#268
AB256309	011102Pt.2#269
AB256310	011102Pt.2#310
AB256306	011102Pt.2#252
AB256311	011102Pt.2#316
AB256312	011102Pt.2#320
AB256313	011102Pt.2#328
AB256314	011102Pt.2#340
AB256315	011102Pt.2#371
AB256316	011102Pt.2#372
AB256317	011102Pt.2#408
AB256319	011102Pt.2#417
AB256318	011102Pt.2#411
AB256320	011102Pt.2#423
AB256321	011102Pt.2#427
AB256322	011102Pt.2#437
AB256323	011102Pt.2#456
AB256324	011102Pt.2#457
AB256325	011102Pt.2#486
AB256326	011102Pt.2#494
AB256328	011102Pt.2#518
AB256327	011102Pt.2#496
AB256329	011102Pt.2#529
AB256331	011102Pt.2#540
AB256332	011102Pt.2#553
AB256333	011102Pt.2#560
AB256330	011102Pt.2#538
AB256334	011102Pt.2#585
AB256335	011102Pt.2#590
AB256336	011102Pt.2#594
AB256337	011102Pt.2#597
AB256338	011102Pt.2#604
AB256339	011102Pt.2#609
AB256340	011102Pt.2#619
AB256341	011102Pt.2#623
AB256342	011102Pt.2#625
AB256343	011102Pt.2#633
AB256344	011102Pt.2#643
AB256346	041119Pt.2#6
AB256347	041119Pt.2#10
AB256345	011102Pt.2#647
AB256348	041119Pt.2#14
AB256349	041119Pt.2#19
AB256351	041119Pt.2#21
AB256350	041119Pt.2#20
AB256352	041119Pt.2#22-1
AB256353	041119Pt.2#22-2
AB256354	041119Pt.2#24
AB256355	041119Pt.2#27-1
AB256356	041119Pt.2#28
AB256357	041119Pt.2#29-1
AB256358	041119Pt.2#30-1
AB256359	041119Pt.2#37
AB256360	041119Pt.2#48
AB256361	041119Pt.2#59
AB256362	041119Pt.2#65
AB256363	041119Pt.2#65
AB256364	041119Pt.2#77
AB256365	041119Pt.2#85
AB256366	041119Pt.2#88
AB256367	041119Pt.2#106
AB256368	041119Pt.2#109
AB256370	041119Pt.2#114-2
AB256371	041119Pt.2#120
AB256369	041119Pt.2#114-1
AB256372	041119Pt.2#130
AB256373	041119Pt.2#133-1
AB256374	041119Pt.2#140
AB256375	041119Pt.2#142
AB256376	041119Pt.2#145
AB256377	041119Pt.2#161-1
AB256378	041119Pt.2#161-2
AB256380	041119Pt.2#169
AB256381	041119Pt.2#187
AB256382	041119Pt.2#214
AB256379	041119Pt.2#167
AB256384	041119Pt.2#247
AB256383	041119Pt.2#235
AB256385	041119Pt.2#250
AB256386	041119Pt.2#265
AB256387	041119Pt.2#266
AB256388	041119Pt.2#270
AB256390	041119Pt.2#290
AB256391	041119Pt.2#291
AB256389	041119Pt.2#285
AB256393	041119Pt.2#355
AB256392	041119Pt.2#321
AB256395	041119Pt.2#365
AB256394	041119Pt.2#361
AB256397	041119Pt.2#376
